Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Affirm Holdings, Inc. (NasdaqGS:AFRM)",NasdaqGS:AFRM,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Transaction and Payment Processing Services,Key DevelopmentClient Announcements Jul-11-2024,"Affirm Holdings, Inc. operates payment network in the United States, Canada, and internationally. The company’s platform includes point-of-sale payment solution for consumers, merchant commerce solutions, and a consumer-focused app. Its commerce platform, agreements with originating banks, and capital markets partners enables consumers to pay for a purchase over time. The company has active merchants covering small businesses, large enterprises, direct-to-consumer brands, brick-and-mortar stores, and companies with an omni-channel presence. Its merchants represent a range of industries, including sporting goods and outdoors, home and lifestyle, travel and ticketing, electronics, fashion and beauty, equipment and auto, and general merchandise. Affirm Holdings, Inc. was founded in 2012 and is headquartered in San Francisco, California.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agilysys, Inc. (NasdaqGS:AGYS)",NasdaqGS:AGYS,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Application Software,"Agilysys, Inc. (NasdaqGS:AGYS) 2024 Form 10-K","Agilysys, Inc. operates as a developer and marketer of software-enabled solutions and services to the hospitality industry in North America, Europe, the Asia-Pacific, and India. It offers software solutions fully integrated with third party hardware and operating systems; cloud applications, support, and maintenance; subscription and maintenance; and professional services. The company’s hospitality software solutions include hospitality experience cloud offers solution ecosystems that combine core operational systems for property management, point-of-sale (POS), and inventory and procurement; and Hospitality Solution Studios. Its food and beverage ecosystem solutions comprise InfoGenesis POS; IG Kiosk; IG Flex; IG KDS; IG OnDemand; IG Fly; IG Quick Pay; IG Smart Menu; IG Digital Menu Board; IG PanOptic AI-powered self-checkout kiosk; Pay, a payment processing solution; eCash for cashless tender; gift card solution; and Analyze, a cloud-based data analytic platform. The company’s inventory and procurement ecosystem solutions include Eatec solution and Stratton Warren System; LMS, a on-premise or hosted, web and mobile-enabled PMS solution; Versa, a hospitality solution; and Stay, a cloud-native SaaS property management system. Its hospitality and leisure and experience enhancer solutions comprise Book, Express Kiosk and Express Mobile for check-in and check-out; Spa software; Golf; Sales & Catering; Service; Authorize; DataMagine; Reserve solution; Digital Marketing solution; Retail POS solution; Central Reservations; Loyalty & Promotions; Membership; Residence Management; and Guest App. It serves hotels, resorts and cruise lines, casinos, corporate food service management, restaurants, universities, stadiums, and healthcare. The company was formerly known as Pioneer-Standard Electronics, Inc. and changed its name to Agilysys, Inc. in 2003. Agilysys, Inc. was founded in 1932 and is headquartered in Alpharetta, Georgia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akatsuki Inc. (TSE:3932),TSE:3932,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Interactive Home Entertainment,Akatsuki Inc. (TSE:3932) - Form ,"Akatsuki Inc. engages in the game, comic, and other businesses primarily in Japan. It offers various games, such as KonMari Spark Joy!, Romancing SaGa Re;universe, August Cinderella Nine, and DRAGON BALL Z DOKKAN BATTLE, as well as EXtreme LIVES, an live experience music app. The company also provides various apps, including HykeComic, JAZZ-ON!, and CRAYON. In addition, it offers Slash Gift, an online lottery mall; and operates Kumarba Channel. The company was incorporated in 2010 and is headquartered in Tokyo, Japan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alkami Technology, Inc. (NasdaqGS:ALKT)",NasdaqGS:ALKT,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Application Software,"Alkami Technology, Inc. (NasdaqGS:ALKT) 2024 Form 10-K","Alkami Technology, Inc. offers cloud-based digital banking solutions in the United States. The company’s Alkami Platform allows financial institutions to onboard and engage new users, accelerate revenues, and enhance operational efficiency, with the support of a proprietary, cloud-based, and multi-tenant architecture. It serves community, regional, super-regional credit unions, and banks. The company was founded in 2009 and is headquartered in Plano, Texas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All For One Media Corp. (OTCPK:AFOM),OTCPK:AFOM,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Licensor,Movies and Entertainment,All For One Media Corp. (OTCPK:AFOM) 2024 Form 10-K,"All For One Media Corp., together with its subsidiaries, engages in media content development in New York. The company is involved in creating, launching, and marketing original pop music performed by boy bands and girl groups. It also produces and owns motion pictures, such as Drama Drama. The company primarily offers its services for children between the ages of seven and fourteen. The company was formerly known as Early Equine, Inc. and changed its name to All for One Media Corp. in November 2015. All For One Media Corp. was incorporated in 2004 and is based in Mount Kisco, New York.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alps Alpine Co., Ltd. (TSE:6770)",TSE:6770,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Electronic Components,"Alps Alpine Co., Ltd. (TSE:6770) - Form Doc","Alps Alpine Co., Ltd. manufactures and sells electronic components in Japan and internationally. It operates through three segments: Component, Sensor and Communication, and Module and System. The company offers TACT switches, potentiometers, HAPTIC reactors, actuators, microfluidic device, and aspherical glass lens for automobiles, consumer appliances, mobile phones and video games. It also provides current, pressure, millimeter-wave, and magnetic sensors; and remote monitoring systems, analog meter monitoring systems, communication modules, capacitive sensing modules, and power inductors for automotive, consumer, and industrial machinery markets. In addition, the company integrated displays, sound systems, electric shifters, power window switches, cabin controllers, cabin controllers, alpine premium sound systems, and customized car products. Further, it provides systems development, office, and financing and leasing services. The company was formerly known as Alps Electric Co., Ltd. and changed its name to Alps Alpine Co., Ltd. in January 2019. Alps Alpine Co., Ltd. was incorporated in 1948 and is headquartered in Tokyo, Japan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AltPlus Inc. (TSE:3672),TSE:3672,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Interactive Home Entertainment,AltPlus Inc. (TSE:3672) 2023 Form Doc,"AltPlus Inc. engages in the planning, development, and operation of social games. It is also involved in development and operation support of IT services. The company was incorporated in 2010 and is based in Tokyo, Japan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC Networks Inc. (NasdaqGS:AMCX),NasdaqGS:AMCX,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Licensor,Broadcasting,AMC Networks Inc. (NasdaqGS:AMCX) 2024 Form 10-K,"AMC Networks Inc., an entertainment company, owns and operates a suite of video entertainment products that are delivered to audiences, a platform to distributors, and advertisers in the United States, Europe, and internationally. The company operates through Domestic Operations, and International and Other segments. The Domestic Operations segment operates various national programming networks, including the AMC, We tv, BBC AMERICA, IFC, and SundanceTV; provides subscription streaming services comprising Acorn TV, Shudder, Sundance Now, ALLBLK, and HIDIVE, as well as AMC+ and other streaming initiatives; and engages in film distribution business under the IFC Films, RLJ Entertainment Films, and Shudder name. This segment also produces and licenses original programming for various programming networks, as well as services the programming networks. The International and Other segment operates a portfolio of channels under the AMCNI name; and production and comedy venues activities under the Levity name. AMC Networks Inc. was founded in 1980 and is headquartered in New York, New York.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMJ Global Technology (OTCPK:AMJT),OTCPK:AMJT,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Health Care Technology,AMJ Global Technology (OTCPK:AMJT) 2023 Form 10-K,"AMJ Global Technology focuses on developing and marketing mobile software product as mobile applications for end users of iPhone, iPad, and mobile phones. It intends to provide technology and wholistic technology-based health treatments for various mental health conditions, such as autism, dementia, and Alzheimer’s, as well as sports health issues and PTSD. The company was formerly known as Kange Corp. and changed its name to AMJ Global Technology in April 2023. The company was incorporated in 2013 and is headquartered in Studio City, California.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amkor Technology, Inc. (NasdaqGS:AMKR)",NasdaqGS:AMKR,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Semiconductor Materials and Equipment,"Amkor Technology, Inc. (NasdaqGS:AMKR) 2024 Form 10-K","Amkor Technology, Inc. provides outsourced semiconductor packaging and test services in the United States, Japan, Europe, the Middle East, Africa, and the Asia Pacific. It offers turnkey packaging and test services, including semiconductor wafer bump, wafer probe, wafer back-grind, package design, packaging, system-level and final test, and drop shipment services; flip chip scale package products for smartphones, tablets, and other mobile consumer electronic devices; flip chip stacked chip scale packages that are used to stack memory digital baseband, and as applications processors in mobile devices; flip-chip ball grid array packages for various networking, storage, computing, automotive, and consumer applications; and memory products for system memory or platform data storage. The company also provides wafer-level CSP packages for power management, transceivers, sensors, wireless charging, codecs, radar, and specialty silicon; wafer-level fan-out packages used in power management, transceivers, radar, and specialty silicon; silicon wafer integrated fan-out technology that replaces a laminate substrate with a thinner structure; leadframe packages for electronic devices and mixed-signal applications; and substrate-based wirebond packages used to connect a die to a substrate. In addition, it offers micro-electro-mechanical systems packages that are miniaturized mechanical and electromechanical devices; and advanced system-in-package modules used in radio frequency and front end modules, basebands, connectivity, fingerprint sensors, display and touch screen drivers, sensors and MEMS, and NAND memory and solid-state drives. Further, the company provides wafer, package, and system level test services, as well as burn-in test and test development services. It serves integrated device manufacturers, fabless semiconductor companies, original equipment manufacturers, and contract foundries. The company was founded in 1968 and is headquartered in Tempe, Arizona.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
