Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cars.com Inc. (NYSE:CARS),NYSE:CARS,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Interactive Media and Services,Cars.com Inc. (NYSE:CARS) 2024 Form 10-K,"Cars.com Inc., an audience-driven technology company, that provides solutions for the automotive industry in the United States. Its Cars Commerce platform connects car shoppers with sellers. The company, enable dealers and automotive manufacturers; connect sellers with ready-to-buy shoppers that provide financing tools with instant online loan screening and approvals; and empower shoppers with the resources and digital tools needed to make car buying decisions. It also offers marketplace products, such as marketplace subscription advertising packages to dealer customers; digital solutions, including website creation and platform hosting, vehicle acquisition and valuation, digital retailing, and review and reputation management; and media products comprising display advertising, social selling, digital advertising, and in-market video services, as well as non-subscription digital advertising services to dealer customers. The company serves dealer customers, which included franchise and independent dealers. Its customers are local dealers, OEMs, and other national advertisers and lenders. Cars.com Inc. was founded in 1998 and is based in Chicago, Illinois.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cashrewards Limited,-,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Advertising,Cashrewards Limited 2021 Form Doc,"Cashrewards Limited, a cashback ecosystem, enables members to browse brands and offers, and receive cashback on transactions by shopping online or in-store with participating merchant partners. It operates Cashrewards app and website; and offers debit or credit card-linked offers. The company was founded in 2014 and is based in Sydney, Australia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD Projekt Red Store Spolka Z Ograniczona Odpowiedzialnoscia,-,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,,CD Projekt S.A. (WSE:CDR) 2024 Form ,"CD Projekt RED is an award-winning video game development studio that specializes in creating story-driven role-playing games. With over 900 professionals from around the world, the company is dedicated to creating innovative and mature games with a gamer-first approach, a diverse and supportive culture, and independent creative control over the games they make. Their mission is to create revolutionary role-boarding games with memorable stories that inspire gamers of all ages and backgrounds. The company is committed to creating games that stay with players for years to come and making memories that make hearts beat faster.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD Projekt S.A. (WSE:CDR),WSE:CDR,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Interactive Home Entertainment,CD Projekt S.A. (WSE:CDR) - Form ,"CD Projekt S.A., together its subsidiaries, engages in the development, publishing, and digital distribution of video games for personal computers and video game consoles in Poland. The company operates through two segments, CD PROJEKT RED and GOG.com. Its product portfolio comprises The Witcher; The Witcher 2: Assassins of Kings; The Witcher 3: Wild Hunt; Thronebreaker: The Witcher Tales; Gwent: The Witcher Card game; and Cyberpunk 2077. The company also distributes videogames through GOG.com distribution platform and the GOG GALAXY application, as well as online channels. In addition, it exports its products in Europe, North America, South America, Asia, Australia, and Africa. CD Projekt S.A. was incorporated in 2001 and is headquartered in Warsaw, Poland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFN Enterprises Inc. (OTCPK:CNFN),OTCPK:CNFN,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Licensor,Interactive Media and Services,CFN Enterprises Inc. (OTCPK:CNFN) 2024 Form 10-K,"CFN Enterprises Inc. engages in the sponsored content and marketing business in the United States. The company sets up and manages compliant and turnkey ad campaigns, as well as runs sponsored content, including articles, press releases, videos, podcasts, advertisements and other media, email advertisements, and other marketing campaigns for public and private companies. It also operates various media platforms, including CannabisFN.com, CFNMediaNews.com, and other venues to educate and inform investors interested in the cannabis industry; and distributes content across various online platforms, such as the CannabisFN.com website, press releases, financial news syndicates, search engines, YouTube, iTunes, Instagram, X, Facebook, LinkedIn, and others. In addition, the company is involved in the white label manufacturing and co-packing business; and cannabidiol manufacturing business. It serves cannabis, hemp, and wellness industries. The company was formerly known as Accelerize Inc. and changed its name to CFN Enterprises Inc. in October 2019. CFN Enterprises Inc. was founded in 2001 and is based in Whitefish, Montana.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champion Microelectronic Corporation (TWSE:3257),TWSE:3257,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Semiconductors,Champion Microelectronic Corporation (TWSE:3257) 2023 Form Doc,"Champion Microelectronic Corporation engaged in the research, development, manufacture, and distribution of integrated circuit (IC) products in Asia, the United States, and Europe. It operates in three segments: Power Integrated Circuits, Power Components, and Other. The company offers power ICs/power management ICs; HV SJ MOSFET, MV/LV SGT MOSFET, HV SJ MOSFETs, and MV/LV SGT MOSFET; and PFC diodes. It also provides PFC/PWM controllers; resonant controllers; high power density/high efficiency solutions; special chips; ture no standby solutions; and gate drivers. Champion Microelectronic Corporation was incorporated in 1987 and is based in Hsinchu City, Taiwan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chicken Soup for the Soul Entertainment, Inc. (OTCPK:CSSE.Q)",OTCPK:CSSE.Q,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Licensor,Movies and Entertainment,"Chicken Soup for the Soul Entertainment, Inc. (OTCPK:CSSE.Q) 2020 Form S-1","Chicken Soup for the Soul Entertainment, Inc. operates as an advertising-supported video-on-demand (VOD) company in the United States and internationally. It owns and operates various ad-supported and subscription-based VOD networks, including Redbox, Crackle, Chicken Soup for the Soul, Popcornflix, Popcornflix Kids, Popcornflix Comedy, FrightPix, Truli, and Españolflix, as well as Pivotshare, subscription VOD platform. The company also operates Redbox Free Live TV, a free ad-supported streaming television (FAST) service with various channels as well as a transactional video-on-demand (TVOD) service; and a network of kiosks for DVD rentals. In addition, it is involved in the creation, acquisition, and distribution of films and TV series; and licensing of content through theatrical, home video, pay-per-view, free, cable and pay television, and subscription and advertising video-on-demand platforms. The company was founded in 1993 and is headquartered in Cos Cob, Connecticut. Chicken Soup for the Soul Entertainment, Inc. operates as a subsidiary of Chicken Soup for the Soul, LLC. On June 28, 2024, Chicken Soup for the Soul Entertainment, Inc., along with its affiliates, filed a voluntary petition for reorganization under Chapter 11 in the U.S. Bankruptcy Court for the District of Delaware. The plan was later approved as Chapter 7 liquidation on July 10, 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cinedigm Entertainment Holdings, LLC",-,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,IT Consulting and Other Services,Cineverse Corp. (NasdaqCM:CNVS) 2018 Form 10-K,There is no business description for this supplier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cineverse Corp. (NasdaqCM:CNVS),NasdaqCM:CNVS,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Movies and Entertainment,Cineverse Corp. (NasdaqCM:CNVS) 2024 Form 10-K,"Cineverse Corp. operates as a streaming technology and entertainment company. It owns and operates streaming channels, through its proprietary technology platform. The company also delivers curated content through subscription video on demand (SVOD), dedicated ad-supported (AVOD), and ad-supported streaming linear (FAST) channels, as well as social video streaming services and audio podcasts; operates OTT streaming entertainment channels. It entertains consumers worldwide by providing feature film and television programs, enthusiast streaming channels, and technology services. The company was formerly known as Cinedigm Corp. and changed its name to Cineverse Corp. in May 2023. Cineverse Corp. was incorporated in 2000 and is based in New York, New York.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cirrus Logic, Inc. (NasdaqGS:CRUS)",NasdaqGS:CRUS,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Semiconductors,"Cirrus Logic, Inc. (NasdaqGS:CRUS) 2024 Form 10-K","Cirrus Logic, Inc., a fabless semiconductor company, develops low-power high-precision mixed-signal processing solutions in China, the United States, and internationally. The company offers audio products, including amplifiers; codecs components that integrate analog-to-digital converters (ADCs) and digital-to-analog converters (DACs) into a single integrated circuit (IC); smart codecs, a codec with integrated digital signal processing; standalone digital signal processors; and SoundClear technology, which consists of a portfolio of tools, software, and algorithms that helps to enhance user experience with features, such as louder, high-fidelity sound, audio playback, voice capture, and hearing augmentation for use in smartphones, tablets, laptops, AR/VR headsets, home theater systems, automotive entertainment systems, and professional audio systems. It also provides high-performance mixed-signal products comprising camera controllers, haptic and sensing solutions, and battery and power ICs for use in smartphones, as well as legacy industrial and energy applications, such as digital utility meters, power supplies, energy control, energy measurement, and energy exploration. The company markets and sells its products through direct sales force, external sales representatives, and distributors. Cirrus Logic, Inc. was incorporated in 1984 and is headquartered in Austin, Texas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Codere Online Luxembourg, S.A. (NasdaqCM:CDRO)",NasdaqCM:CDRO,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Casinos and Gaming,"Codere Online Luxembourg, S.A. (NasdaqCM:CDRO) 2023 Form 20-F","Codere Online Luxembourg, S.A. operates as an online casino gaming and sports betting company. It also offers online casino wagering products and services, as well as online gambling and other online services. The company offers its products under the Codere and Greenplay brand names. It primarily operates in Spain, Italy, Mexico, Colombia, the United Kingdom, Germany, South Africa, Austria, Malta, Panama, and Argentina. The company is based in Luxembourg, Luxembourg.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cogeco Communications Inc. (TSX:CCA),TSX:CCA,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Integrated Telecommunication Services,Cogeco Communications Inc. (TSX:CCA) 2024 Form Doc,"Cogeco Communications Inc. operates as a telecommunications corporation in Canada and the United States. It operates in two segments, Canadian Telecommunications and American Telecommunications. The company offers Internet, video, wireless, and wireline phone services to residential and small business customers through its two-way broadband fiber networks. It also provides Internet packages comprising best-in-class managed Wi-Fi and with home Wi-Fi solutions; video services; and voice services and other advanced network connectivity services, such as dedicated fibre, session initiation protocol (SIP) or primary rate interface (PRI) trunking solutions, hosted private branch exchange (HPBX) solutions, and managed business Wi-Fi (MBW) through its long-distance fibre optic systems, advanced hybrid fibre-coaxial (HFC) telecommunications distribution networks, point-to-point fibre networks, and fibre-to-the-home (FTTH) network technologies. In addition, the company offers e-mail solutions and Internet security suite to Internet customers with automatic updates to protect their desktop and mobile devices; and self-installation devices on a rental basis. Further, it provides cable operator services under the Cogeco Connexion name in Québec and Ontario, Canada; and in the United States under the Breezeline brand. The company was formerly known as Cogeco Cable Inc. and changed its name to Cogeco Communications Inc. in January 2016. Cogeco Communications Inc. was founded in 1957 and is headquartered in Montreal, Canada. Cogeco Communications Inc. is a subsidiary of Cogeco Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coherent Corp. (NYSE:COHR),NYSE:COHR,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Electronic Components,Coherent Corp. (NYSE:COHR) 2023 Form 10-K,"Coherent Corp. develops, manufactures, and markets engineered materials, optoelectronic components and devices, and optical and laser systems and subsystems for the use in the industrial, communications, electronics, and instrumentation markets worldwide. It operates through three segments: Networking, Materials, and Lasers. The Networking segment offers telecommunication products for fiber-optic transmission; datacom transceivers, including pluggable transceivers for ethernet and fiber channel applications; and advanced optics, such as fiber and precision optics used in projection displays, crystal materials and components for optical communications, filters and assemblies for life sciences, sensors, instrumentation, and semiconductor equipment, as well as ultraviolet (UV), visible, and near-infrared spectroscopy optics for industrial lasers. The Materials segments provides laser optics and accessories; infrared thermal imaging optics and assemblies; polycrystalline materials; thermoelectric components, subassemblies, and systems; ceramic and metal-matrix composite products; semiconductor lasers and laser bars; Q-switched laser modules, uncooled pump laser modules, and laser systems for superhard materials processing; laser processing heads and beam delivery systems; EELs, VCSELs, and detectors; pumps for amplifiers; precision optical assemblies, infrared optics, thin-film coatings and optical materials; optical solutions; and integrated circuits for transceivers. The Lasers segment offers UV gas and solid-state lasers; UV optical systems, line beams, and mask-based imaging systems; UV nanosecond lasers; continuous-wave lasers and systems; amplifiers; subsystems and standard systems; IR lasers; crystals and diode lasers, and specialty polishing and coating solutions. The company was formerly known as II-VI Incorporated and changed its name to Coherent Corp. in September 2022. Coherent Corp. was incorporated in 1971 and is headquartered in Saxonburg, Pennsylvania.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coinbase Global, Inc. (NasdaqGS:COIN)",NasdaqGS:COIN,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Financial Exchanges and Data,"Coinbase Global, Inc. (NasdaqGS:COIN) 2024 Form 10-K","Coinbase Global, Inc. provides financial infrastructure and technology for the crypto economy in the United States and internationally. The company offers the primary financial account in the crypto economy for consumers; and a marketplace with a pool of liquidity for transacting in crypto assets for institutions. It also provides technology and services that enable developers to build crypto products and securely accept crypto assets as payment. The company was founded in 2012 and is based in Wilmington, Delaware.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COLOPL, Inc. (TSE:3668)",TSE:3668,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Interactive Home Entertainment,"COLOPL, Inc. (TSE:3668) - Form Doc","COLOPL, Inc. provides mobile gaming applications for smartphones in Japan and internationally. The company also offers VR services and creates VR games; and console and blockchain games. It also invests in a range of industries, including next-generation entrepreneurs, and other B2C and entertainment companies; and develops a collaboration service for a range of entertainment businesses using intellectual property rights. The company was incorporated in 2008 and is headquartered in Tokyo, Japan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Compal Electronics, Inc. (TWSE:2324)",TWSE:2324,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,"Technology Hardware, Storage and Peripherals","Compal Electronics, Inc. (TWSE:2324) 2024 Form Doc","Compal Electronics, Inc., together with its subsidiaries, engages in the manufacture and sale of notebook personal computers (PC), monitors, LCD TVs, mobile phones, and various components and peripherals in Taiwan, the United States, China, the Netherlands, and internationally. It researches, develops, manufactures, and sells wireless network, household electronic, mobile office, automotive electronic products, PCs, computer periphery devices, electronic components, electric appliance, audiovisual electric, lighting, communication devices, electronic computers, smart watches, automotive parts and accessories, digital products, cable modems, digital set up boxes, other communication products, touch panels, and wireless AP products. In addition, it is involved in international trading; manufacture, wholesale, and retail of medical equipment; technical support and sale of wireless and broadband network products; real estate development, management, and leasing business; construction and investment in infrastructures; manufacture and sale of aluminum and magnesium alloy products; and retail and wholesale of animal medication products. Further, it provides management consulting and biotechnology services; software design, data processing, and information software; maintenance and warranty services for notebook PCs; and training and education, business information consulting, financial and tax consulting, investment consulting, and investment management services. Additionally, it engages in investment and development of public construction and specific areas; medical care IoT business; Rental and leasing, and import and export business; Wholesale and retail of computer software, electronic materials, and precision instruments; and research and development of MEMS technology of manufacturing process of semiconductors. The company was founded in 1973 and is headquartered in Taipei City, Taiwan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CooTek (Cayman) Inc. (OTCPK:CTKY.Y),OTCPK:CTKY.Y,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Application Software,CooTek (Cayman) Inc. (OTCPK:CTKY.Y) 2024 Form 20-F,"CooTek (Cayman) Inc. operates as a mobile internet company in the United States and the People's Republic of China. The company offers Fengdu Novel, a mobile application that provides users with free online novels; and Fengdu Literature, a platform covering various categories of male and female preferred content, such as genres of romance, fantasy, science fiction, history, and others. It also provides causal games, such as dress-up games, including Catwalk Beauty, Hey Beauty, and Love Fantasy. In addition, the company offers TouchPal Smart Input, an intelligent input method for mobile devices; and TouchPal Phonebook. It distributes its products and acquires users primarily through user downloads from digital distribution platforms and social media. CooTek (Cayman) Inc. was founded in 2008 and is headquartered in Shanghai, the People's Republic of China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crayons Advertising Limited (NSEI:CRAYONS),NSEI:CRAYONS,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Advertising,Crayons Advertising Limited (NSEI:CRAYONS) 2023 Form Doc,"Crayons Advertising Limited provides advertising and marketing services primarily in India. The company offers outdoor, print, ground events/activations, and digital marketing services. It also engages in branding and designing through print and online and digital media; designs various publicity materials; events management, including planning, organizing, and managing events, such as commercial, corporate, cultural, and brand promotion events; and engages in the communication business. The company was incorporated in 1986 and is based in New Delhi, India.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crazy Sports Group Limited (SEHK:82),SEHK:82,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Interactive Media and Services,Crazy Sports Group Limited (SEHK:82) 2023 Form Doc,"Crazy Sports Group Limited, an investment holding company, operates as a digital sports entertainment community operator in the People's Republic of China. It develops and operates Crazy Red Insights APP, a paid sports information platform; Crazy Sports APP, a sports social interactive platform; Fantasy Sports Events APP, a sports events and interactive quizzing platform; and Qiankun Digital Collectibles, a digital collectibles platform. The company also operates and publishes sports and leisure games, as well as offers sports lottery retail services. In addition, it is involved in the development and operation of mobile applications and software; and provides advertisement production services. The company was formerly known as V1 Group Limited and changed its name to Crazy Sports Group Limited in June 2021. Crazy Sports Group Limited was founded in 2005 and is based in Beijing, the People's Republic of China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Creatd, Inc. (OTCPK:CRTD)",OTCPK:CRTD,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Interactive Media and Services,"Creatd, Inc. (OTCPK:CRTD) 2023 Form S-1","Creatd, Inc., a technology company, provides economic opportunities for creators in the United States. It operates in four segments: Creatd Labs, Creatd Partners, Creatd Ventures, and Creatd Studios. The company’s flagship product is Vocal that delivers a digital publishing platform organized into niche-communities capable of hosting various rich media content. Its Vocal platform enhances the visibility of content and maximizes viewership; and provides advertisers access to target markets that closely match its interests. The company also offers Vocal for Brands, a content marketing that fosters relationships between brands and creators through its suite of agency services; Seller’s Choice, performance marketing initiatives; and WHE Agency, an influencer marketing. In addition, it builds, develops, and scales e-commerce brands, such as Camp and Dune Glow Remedy. Further, the company’s Creatd studios elevates creators to develop their content for television, film, prints, and podcasts. It serves businesses and consumers. The company was formerly known as Jerrick Media Holdings, Inc. and changed its name to Creatd Inc. in September 2020. Creatd, Inc. is headquartered in New York, New York.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
